"","Region","TIME_FY","Time","Value","dist_from_syd"
"1","Avoca Beach - Copacabana",2007,"2006-07",-36,NA
"2","Avoca Beach - Copacabana",2008,"2007-08",3,NA
"3","Avoca Beach - Copacabana",2009,"2008-09",54,NA
"4","Avoca Beach - Copacabana",2010,"2009-10",0,NA
"5","Avoca Beach - Copacabana",2011,"2010-11",-20,NA
"6","Avoca Beach - Copacabana",2012,"2011-12",2,NA
"7","Avoca Beach - Copacabana",2013,"2012-13",-20,NA
"8","Avoca Beach - Copacabana",2014,"2013-14",-22,NA
"9","Avoca Beach - Copacabana",2015,"2014-15",-1,NA
"10","Box Head - MacMasters Beach",2007,"2006-07",-39,NA
"11","Box Head - MacMasters Beach",2008,"2007-08",6,NA
"12","Box Head - MacMasters Beach",2009,"2008-09",29,NA
"13","Box Head - MacMasters Beach",2010,"2009-10",-4,NA
"14","Box Head - MacMasters Beach",2011,"2010-11",-43,NA
"15","Box Head - MacMasters Beach",2012,"2011-12",22,NA
"16","Box Head - MacMasters Beach",2013,"2012-13",13,NA
"17","Box Head - MacMasters Beach",2014,"2013-14",29,NA
"18","Box Head - MacMasters Beach",2015,"2014-15",92,NA
"19","Calga - Kulnura",2007,"2006-07",-27,NA
"20","Calga - Kulnura",2008,"2007-08",-23,NA
"21","Calga - Kulnura",2009,"2008-09",-25,NA
"22","Calga - Kulnura",2010,"2009-10",-17,NA
"23","Calga - Kulnura",2011,"2010-11",-7,NA
"24","Calga - Kulnura",2012,"2011-12",-32,NA
"25","Calga - Kulnura",2013,"2012-13",21,NA
"26","Calga - Kulnura",2014,"2013-14",13,NA
"27","Calga - Kulnura",2015,"2014-15",17,NA
"28","Erina - Green Point",2007,"2006-07",-25,NA
"29","Erina - Green Point",2008,"2007-08",19,NA
"30","Erina - Green Point",2009,"2008-09",94,NA
"31","Erina - Green Point",2010,"2009-10",115,NA
"32","Erina - Green Point",2011,"2010-11",35,NA
"33","Erina - Green Point",2012,"2011-12",178,NA
"34","Erina - Green Point",2013,"2012-13",180,NA
"35","Erina - Green Point",2014,"2013-14",183,NA
"36","Erina - Green Point",2015,"2014-15",157,NA
"37","Gosford - Springfield",2007,"2006-07",51,NA
"38","Gosford - Springfield",2008,"2007-08",-7,NA
"39","Gosford - Springfield",2009,"2008-09",98,NA
"40","Gosford - Springfield",2010,"2009-10",121,NA
"41","Gosford - Springfield",2011,"2010-11",164,NA
"42","Gosford - Springfield",2012,"2011-12",88,NA
"43","Gosford - Springfield",2013,"2012-13",16,NA
"44","Gosford - Springfield",2014,"2013-14",160,NA
"45","Gosford - Springfield",2015,"2014-15",112,NA
"46","Kariong",2007,"2006-07",9,NA
"47","Kariong",2008,"2007-08",9,NA
"48","Kariong",2009,"2008-09",-4,NA
"49","Kariong",2010,"2009-10",-33,NA
"50","Kariong",2011,"2010-11",-133,NA
"51","Kariong",2012,"2011-12",-78,NA
"52","Kariong",2013,"2012-13",-71,NA
"53","Kariong",2014,"2013-14",-27,NA
"54","Kariong",2015,"2014-15",-30,NA
"55","Kincumber - Picketts Valley",2007,"2006-07",-87,NA
"56","Kincumber - Picketts Valley",2008,"2007-08",-42,NA
"57","Kincumber - Picketts Valley",2009,"2008-09",16,NA
"58","Kincumber - Picketts Valley",2010,"2009-10",-2,NA
"59","Kincumber - Picketts Valley",2011,"2010-11",-14,NA
"60","Kincumber - Picketts Valley",2012,"2011-12",-11,NA
"61","Kincumber - Picketts Valley",2013,"2012-13",29,NA
"62","Kincumber - Picketts Valley",2014,"2013-14",10,NA
"63","Kincumber - Picketts Valley",2015,"2014-15",62,NA
"64","Narara",2007,"2006-07",-48,NA
"65","Narara",2008,"2007-08",-39,NA
"66","Narara",2009,"2008-09",-19,NA
"67","Narara",2010,"2009-10",21,NA
"68","Narara",2011,"2010-11",-24,NA
"69","Narara",2012,"2011-12",-10,NA
"70","Narara",2013,"2012-13",-35,NA
"71","Narara",2014,"2013-14",-30,NA
"72","Narara",2015,"2014-15",-13,NA
"73","Niagara Park - Lisarow",2007,"2006-07",38,NA
"74","Niagara Park - Lisarow",2008,"2007-08",20,NA
"75","Niagara Park - Lisarow",2009,"2008-09",39,NA
"76","Niagara Park - Lisarow",2010,"2009-10",61,NA
"77","Niagara Park - Lisarow",2011,"2010-11",31,NA
"78","Niagara Park - Lisarow",2012,"2011-12",-16,NA
"79","Niagara Park - Lisarow",2013,"2012-13",3,NA
"80","Niagara Park - Lisarow",2014,"2013-14",48,NA
"81","Niagara Park - Lisarow",2015,"2014-15",17,NA
"82","Point Clare - Koolewong",2007,"2006-07",-49,NA
"83","Point Clare - Koolewong",2008,"2007-08",-34,NA
"84","Point Clare - Koolewong",2009,"2008-09",-28,NA
"85","Point Clare - Koolewong",2010,"2009-10",-44,NA
"86","Point Clare - Koolewong",2011,"2010-11",-63,NA
