"RIM","Migration Type","REGIONTYPE","Region Type","ASGS_2011_STATE_GCCSA_SA4_SA3_SA2","Region","FREQUENCY","Frequency","TIME_FY","Time","Value","Flag Codes","Flags"
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011028","Avoca Beach - Copacabana","A","Annual","2007","2006-07",-36,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011028","Avoca Beach - Copacabana","A","Annual","2008","2007-08",3,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011028","Avoca Beach - Copacabana","A","Annual","2009","2008-09",54,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011028","Avoca Beach - Copacabana","A","Annual","2010","2009-10",0,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011028","Avoca Beach - Copacabana","A","Annual","2011","2010-11",-20,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011028","Avoca Beach - Copacabana","A","Annual","2012","2011-12",2,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011028","Avoca Beach - Copacabana","A","Annual","2013","2012-13",-20,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011028","Avoca Beach - Copacabana","A","Annual","2014","2013-14",-22,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011028","Avoca Beach - Copacabana","A","Annual","2015","2014-15",-1,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011029","Box Head - MacMasters Beach","A","Annual","2007","2006-07",-39,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011029","Box Head - MacMasters Beach","A","Annual","2008","2007-08",6,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011029","Box Head - MacMasters Beach","A","Annual","2009","2008-09",29,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011029","Box Head - MacMasters Beach","A","Annual","2010","2009-10",-4,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011029","Box Head - MacMasters Beach","A","Annual","2011","2010-11",-43,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011029","Box Head - MacMasters Beach","A","Annual","2012","2011-12",22,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011029","Box Head - MacMasters Beach","A","Annual","2013","2012-13",13,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011029","Box Head - MacMasters Beach","A","Annual","2014","2013-14",29,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011029","Box Head - MacMasters Beach","A","Annual","2015","2014-15",92,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011030","Calga - Kulnura","A","Annual","2007","2006-07",-27,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011030","Calga - Kulnura","A","Annual","2008","2007-08",-23,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011030","Calga - Kulnura","A","Annual","2009","2008-09",-25,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011030","Calga - Kulnura","A","Annual","2010","2009-10",-17,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011030","Calga - Kulnura","A","Annual","2011","2010-11",-7,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011030","Calga - Kulnura","A","Annual","2012","2011-12",-32,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011030","Calga - Kulnura","A","Annual","2013","2012-13",21,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011030","Calga - Kulnura","A","Annual","2014","2013-14",13,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011030","Calga - Kulnura","A","Annual","2015","2014-15",17,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011031","Erina - Green Point","A","Annual","2007","2006-07",-25,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011031","Erina - Green Point","A","Annual","2008","2007-08",19,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011031","Erina - Green Point","A","Annual","2009","2008-09",94,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011031","Erina - Green Point","A","Annual","2010","2009-10",115,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011031","Erina - Green Point","A","Annual","2011","2010-11",35,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011031","Erina - Green Point","A","Annual","2012","2011-12",178,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011031","Erina - Green Point","A","Annual","2013","2012-13",180,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011031","Erina - Green Point","A","Annual","2014","2013-14",183,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011031","Erina - Green Point","A","Annual","2015","2014-15",157,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011032","Gosford - Springfield","A","Annual","2007","2006-07",51,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011032","Gosford - Springfield","A","Annual","2008","2007-08",-7,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011032","Gosford - Springfield","A","Annual","2009","2008-09",98,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011032","Gosford - Springfield","A","Annual","2010","2009-10",121,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011032","Gosford - Springfield","A","Annual","2011","2010-11",164,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011032","Gosford - Springfield","A","Annual","2012","2011-12",88,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011032","Gosford - Springfield","A","Annual","2013","2012-13",16,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011032","Gosford - Springfield","A","Annual","2014","2013-14",160,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011032","Gosford - Springfield","A","Annual","2015","2014-15",112,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011033","Kariong","A","Annual","2007","2006-07",9,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011033","Kariong","A","Annual","2008","2007-08",9,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011033","Kariong","A","Annual","2009","2008-09",-4,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011033","Kariong","A","Annual","2010","2009-10",-33,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011033","Kariong","A","Annual","2011","2010-11",-133,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011033","Kariong","A","Annual","2012","2011-12",-78,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011033","Kariong","A","Annual","2013","2012-13",-71,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011033","Kariong","A","Annual","2014","2013-14",-27,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011033","Kariong","A","Annual","2015","2014-15",-30,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011034","Kincumber - Picketts Valley","A","Annual","2007","2006-07",-87,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011034","Kincumber - Picketts Valley","A","Annual","2008","2007-08",-42,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011034","Kincumber - Picketts Valley","A","Annual","2009","2008-09",16,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011034","Kincumber - Picketts Valley","A","Annual","2010","2009-10",-2,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011034","Kincumber - Picketts Valley","A","Annual","2011","2010-11",-14,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011034","Kincumber - Picketts Valley","A","Annual","2012","2011-12",-11,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011034","Kincumber - Picketts Valley","A","Annual","2013","2012-13",29,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011034","Kincumber - Picketts Valley","A","Annual","2014","2013-14",10,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011034","Kincumber - Picketts Valley","A","Annual","2015","2014-15",62,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011035","Narara","A","Annual","2007","2006-07",-48,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011035","Narara","A","Annual","2008","2007-08",-39,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011035","Narara","A","Annual","2009","2008-09",-19,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011035","Narara","A","Annual","2010","2009-10",21,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011035","Narara","A","Annual","2011","2010-11",-24,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011035","Narara","A","Annual","2012","2011-12",-10,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011035","Narara","A","Annual","2013","2012-13",-35,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011035","Narara","A","Annual","2014","2013-14",-30,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011035","Narara","A","Annual","2015","2014-15",-13,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011036","Niagara Park - Lisarow","A","Annual","2007","2006-07",38,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011036","Niagara Park - Lisarow","A","Annual","2008","2007-08",20,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011036","Niagara Park - Lisarow","A","Annual","2009","2008-09",39,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011036","Niagara Park - Lisarow","A","Annual","2010","2009-10",61,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011036","Niagara Park - Lisarow","A","Annual","2011","2010-11",31,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011036","Niagara Park - Lisarow","A","Annual","2012","2011-12",-16,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011036","Niagara Park - Lisarow","A","Annual","2013","2012-13",3,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011036","Niagara Park - Lisarow","A","Annual","2014","2013-14",48,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011036","Niagara Park - Lisarow","A","Annual","2015","2014-15",17,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011037","Point Clare - Koolewong","A","Annual","2007","2006-07",-49,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011037","Point Clare - Koolewong","A","Annual","2008","2007-08",-34,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011037","Point Clare - Koolewong","A","Annual","2009","2008-09",-28,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011037","Point Clare - Koolewong","A","Annual","2010","2009-10",-44,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011037","Point Clare - Koolewong","A","Annual","2011","2010-11",-63,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011037","Point Clare - Koolewong","A","Annual","2012","2011-12",-34,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011037","Point Clare - Koolewong","A","Annual","2013","2012-13",-42,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011037","Point Clare - Koolewong","A","Annual","2014","2013-14",-25,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011037","Point Clare - Koolewong","A","Annual","2015","2014-15",-83,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2007","2006-07",-12,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2008","2007-08",29,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2009","2008-09",35,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2010","2009-10",77,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2011","2010-11",35,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2012","2011-12",88,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2013","2012-13",78,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2014","2013-14",72,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2015","2014-15",120,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2007","2006-07",-42,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2008","2007-08",63,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2009","2008-09",48,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2010","2009-10",82,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2011","2010-11",59,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2012","2011-12",64,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2013","2012-13",54,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2014","2013-14",11,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2015","2014-15",76,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011040","Umina - Booker Bay - Patonga","A","Annual","2007","2006-07",107,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011040","Umina - Booker Bay - Patonga","A","Annual","2008","2007-08",132,,
"3","Internal Migration - Net","SA2","Statistical Area Level 2","102011040","Umina - Booker Bay - Patonga","A","Annual","2009","2008-09",165,,
