name,numChange,perChange,area,year,pop
Braidwood,872,25.2,3418.4,2002,2811
Braidwood,872,25.2,3418.4,2003,2835
Braidwood,872,25.2,3418.4,2004,2844
Braidwood,872,25.2,3418.4,2005,2847
Braidwood,872,25.2,3418.4,2006,2965
Braidwood,872,25.2,3418.4,2008,3181
Braidwood,872,25.2,3418.4,2010,3429
Braidwood,872,25.2,3418.4,2011,3458
Braidwood,872,25.2,3418.4,2013,3685
Braidwood,872,25.2,3418.4,2014,3762
Braidwood,872,25.2,3418.4,2015,3849
Braidwood,872,25.2,3418.4,2019,4211
Braidwood,872,25.2,3418.4,2020,4273
Karabar,-546,-6,7,2001,9129
Karabar,-546,-6,7,2002,9199
Karabar,-546,-6,7,2003,9263
Karabar,-546,-6,7,2004,9277
Karabar,-546,-6,7,2006,9212
Karabar,-546,-6,7,2008,8994
Karabar,-546,-6,7,2013,8848
Karabar,-546,-6,7,2014,8731
Karabar,-546,-6,7,2016,8531
Karabar,-546,-6,7,2017,8526
Karabar,-546,-6,7,2019,8488
Karabar,-546,-6,7,2020,8519
Karabar,-546,-6,7,2021,8546
Queanbeyan,655,6.1,4.8,2001,9717
Queanbeyan,655,6.1,4.8,2002,9513
Queanbeyan,655,6.1,4.8,2003,9522
Queanbeyan,655,6.1,4.8,2005,9595
Queanbeyan,655,6.1,4.8,2006,9682
Queanbeyan,655,6.1,4.8,2007,9793
Queanbeyan,655,6.1,4.8,2014,11199
Queanbeyan,655,6.1,4.8,2015,11213
Queanbeyan,655,6.1,4.8,2017,11355
Queanbeyan,655,6.1,4.8,2018,11447
Queanbeyan,655,6.1,4.8,2020,11437
Queanbeyan - East,142,2.9,13,2001,3925
Queanbeyan - East,142,2.9,13,2003,4219
Queanbeyan - East,142,2.9,13,2004,4218
Queanbeyan - East,142,2.9,13,2005,4187
Queanbeyan - East,142,2.9,13,2006,4319
Queanbeyan - East,142,2.9,13,2007,4459
Queanbeyan - East,142,2.9,13,2008,4595
Queanbeyan - East,142,2.9,13,2009,4712
Queanbeyan - East,142,2.9,13,2010,4813
Queanbeyan - East,142,2.9,13,2011,4951
Queanbeyan - East,142,2.9,13,2012,4971
Queanbeyan - East,142,2.9,13,2013,4983
Queanbeyan - East,142,2.9,13,2014,4967
Queanbeyan - East,142,2.9,13,2015,4961
Queanbeyan - East,142,2.9,13,2019,5117
Queanbeyan West - Jerrabomberra,-480,-3.6,13.7,2001,9425
Queanbeyan West - Jerrabomberra,-480,-3.6,13.7,2004,11549
Queanbeyan West - Jerrabomberra,-480,-3.6,13.7,2006,12358
Queanbeyan West - Jerrabomberra,-480,-3.6,13.7,2007,12622
Queanbeyan West - Jerrabomberra,-480,-3.6,13.7,2008,12798
Queanbeyan West - Jerrabomberra,-480,-3.6,13.7,2009,12988
Queanbeyan West - Jerrabomberra,-480,-3.6,13.7,2010,13146
Queanbeyan West - Jerrabomberra,-480,-3.6,13.7,2011,13223
Queanbeyan West - Jerrabomberra,-480,-3.6,13.7,2014,13193
Queanbeyan West - Jerrabomberra,-480,-3.6,13.7,2015,13164
Queanbeyan West - Jerrabomberra,-480,-3.6,13.7,2019,12935
Queanbeyan West - Jerrabomberra,-480,-3.6,13.7,2020,12796
Queanbeyan West - Jerrabomberra,-480,-3.6,13.7,2021,12743
Googong,6194,12145.1,6.9,2001,26
Googong,6194,12145.1,6.9,2002,28
Googong,6194,12145.1,6.9,2003,32
Googong,6194,12145.1,6.9,2004,34
Googong,6194,12145.1,6.9,2006,43
Googong,6194,12145.1,6.9,2007,46
Googong,6194,12145.1,6.9,2008,48
Googong,6194,12145.1,6.9,2010,51
Googong,6194,12145.1,6.9,2011,51
Googong,6194,12145.1,6.9,2012,54
Googong,6194,12145.1,6.9,2013,64
Googong,6194,12145.1,6.9,2014,368
Googong,6194,12145.1,6.9,2015,937
Googong,6194,12145.1,6.9,2016,1613
Googong,6194,12145.1,6.9,2017,2589
Googong,6194,12145.1,6.9,2018,3453
Googong,6194,12145.1,6.9,2019,4484
Googong,6194,12145.1,6.9,2020,5448
Googong,6194,12145.1,6.9,2021,6245
Queanbeyan Surrounds,1962,13.5,3047.7,2003,11153
Queanbeyan Surrounds,1962,13.5,3047.7,2004,11498
Queanbeyan Surrounds,1962,13.5,3047.7,2005,11995
Queanbeyan Surrounds,1962,13.5,3047.7,2006,12539
Queanbeyan Surrounds,1962,13.5,3047.7,2008,13583
Queanbeyan Surrounds,1962,13.5,3047.7,2009,13978
Queanbeyan Surrounds,1962,13.5,3047.7,2010,14286
Queanbeyan Surrounds,1962,13.5,3047.7,2011,14561
Queanbeyan Surrounds,1962,13.5,3047.7,2012,14937
Queanbeyan Surrounds,1962,13.5,3047.7,2013,15345
Queanbeyan Surrounds,1962,13.5,3047.7,2014,15592
Queanbeyan Surrounds,1962,13.5,3047.7,2015,15681
Queanbeyan Surrounds,1962,13.5,3047.7,2016,15678
Queanbeyan Surrounds,1962,13.5,3047.7,2017,15766
Queanbeyan Surrounds,1962,13.5,3047.7,2018,15919
Queanbeyan Surrounds,1962,13.5,3047.7,2020,16267
Queanbeyan Surrounds,1962,13.5,3047.7,2021,16523
Bombala,-35,-1.4,3990.1,2001,2622
Bombala,-35,-1.4,3990.1,2002,2617
Bombala,-35,-1.4,3990.1,2004,2576
Bombala,-35,-1.4,3990.1,2005,2577
Bombala,-35,-1.4,3990.1,2006,2589
Bombala,-35,-1.4,3990.1,2007,2567
Bombala,-35,-1.4,3990.1,2008,2534
Bombala,-35,-1.4,3990.1,2009,2516
Bombala,-35,-1.4,3990.1,2011,2484
Bombala,-35,-1.4,3990.1,2012,2462
Bombala,-35,-1.4,3990.1,2013,2451
Bombala,-35,-1.4,3990.1,2014,2437
Bombala,-35,-1.4,3990.1,2015,2428
Bombala,-35,-1.4,3990.1,2017,2424
Bombala,-35,-1.4,3990.1,2018,2431
Bombala,-35,-1.4,3990.1,2019,2445
Bombala,-35,-1.4,3990.1,2020,2454
Bombala,-35,-1.4,3990.1,2021,2449
Cooma,-175,-2.5,103.6,2001,6915
Cooma,-175,-2.5,103.6,2002,6945
Cooma,-175,-2.5,103.6,2003,6981
Cooma,-175,-2.5,103.6,2007,6964
Cooma,-175,-2.5,103.6,2008,6936
Cooma,-175,-2.5,103.6,2009,6932
Cooma,-175,-2.5,103.6,2010,6934
Cooma,-175,-2.5,103.6,2011,6935
Cooma,-175,-2.5,103.6,2012,6931
Cooma,-175,-2.5,103.6,2013,6924
Cooma,-175,-2.5,103.6,2014,6914
Cooma,-175,-2.5,103.6,2015,6887
Cooma,-175,-2.5,103.6,2017,6866
Cooma,-175,-2.5,103.6,2018,6873
Cooma,-175,-2.5,103.6,2019,6865
Cooma,-175,-2.5,103.6,2020,6829
Cooma Surrounds,189,5.8,6251,2001,2932
Cooma Surrounds,189,5.8,6251,2002,2946
Cooma Surrounds,189,5.8,6251,2003,2991
Cooma Surrounds,189,5.8,6251,2006,3141
Cooma Surrounds,189,5.8,6251,2007,3186
Cooma Surrounds,189,5.8,6251,2008,3196
Cooma Surrounds,189,5.8,6251,2009,3211
Cooma Surrounds,189,5.8,6251,2010,3244
Cooma Surrounds,189,5.8,6251,2011,3271
Cooma Surrounds,189,5.8,6251,2012,3282
Cooma Surrounds,189,5.8,6251,2013,3294
Cooma Surrounds,189,5.8,6251,2015,3314
Cooma Surrounds,189,5.8,6251,2016,3327
Cooma Surrounds,189,5.8,6251,2017,3333
Cooma Surrounds,189,5.8,6251,2018,3349
Cooma Surrounds,189,5.8,6251,2019,3372
Cooma Surrounds,189,5.8,6251,2020,3415
Jindabyne - Berridale,1139,16.5,3939.8,2001,6341
Jindabyne - Berridale,1139,16.5,3939.8,2002,6497
Jindabyne - Berridale,1139,16.5,3939.8,2003,6522
Jindabyne - Berridale,1139,16.5,3939.8,2004,6521
Jindabyne - Berridale,1139,16.5,3939.8,2005,6533
Jindabyne - Berridale,1139,16.5,3939.8,2006,6585
Jindabyne - Berridale,1139,16.5,3939.8,2007,6696
Jindabyne - Berridale,1139,16.5,3939.8,2008,6774
Jindabyne - Berridale,1139,16.5,3939.8,2009,6842
Jindabyne - Berridale,1139,16.5,3939.8,2010,6896
Jindabyne - Berridale,1139,16.5,3939.8,2012,6932
Jindabyne - Berridale,1139,16.5,3939.8,2013,6963
Jindabyne - Berridale,1139,16.5,3939.8,2014,6987
Jindabyne - Berridale,1139,16.5,3939.8,2017,7227
Jindabyne - Berridale,1139,16.5,3939.8,2018,7389
Jindabyne - Berridale,1139,16.5,3939.8,2020,7769
Batemans Bay,815,10.5,63.7,2001,6537
Batemans Bay,815,10.5,63.7,2002,6724
Batemans Bay,815,10.5,63.7,2003,6993
Batemans Bay,815,10.5,63.7,2004,7162
Batemans Bay,815,10.5,63.7,2005,7293
Batemans Bay,815,10.5,63.7,2006,7382
Batemans Bay,815,10.5,63.7,2008,7597
Batemans Bay,815,10.5,63.7,2009,7644
Batemans Bay,815,10.5,63.7,2010,7669
Batemans Bay,815,10.5,63.7,2011,7772
Batemans Bay,815,10.5,63.7,2012,7771
Batemans Bay,815,10.5,63.7,2013,7776
Batemans Bay,815,10.5,63.7,2015,7829
Batemans Bay,815,10.5,63.7,2016,7871
Batemans Bay,815,10.5,63.7,2018,8135
Batemans Bay,815,10.5,63.7,2019,8276
Batemans Bay,815,10.5,63.7,2021,8587
Batemans Bay - South,325,3.8,30.6,2002,7412
Batemans Bay - South,325,3.8,30.6,2004,7746
Batemans Bay - South,325,3.8,30.6,2005,7845
Batemans Bay - South,325,3.8,30.6,2006,7892
Batemans Bay - South,325,3.8,30.6,2009,8295
Batemans Bay - South,325,3.8,30.6,2012,8559
Batemans Bay - South,325,3.8,30.6,2013,8546
Batemans Bay - South,325,3.8,30.6,2014,8532
Batemans Bay - South,325,3.8,30.6,2015,8519
Batemans Bay - South,325,3.8,30.6,2017,8563
Batemans Bay - South,325,3.8,30.6,2018,8611
Batemans Bay - South,325,3.8,30.6,2019,8666
Batemans Bay - South,325,3.8,30.6,2020,8757
Bega - Tathra,493,5.9,183.9,2001,7928
Bega - Tathra,493,5.9,183.9,2002,7971
Bega - Tathra,493,5.9,183.9,2004,8151
Bega - Tathra,493,5.9,183.9,2005,8159
Bega - Tathra,493,5.9,183.9,2006,8178
Bega - Tathra,493,5.9,183.9,2007,8231
Bega - Tathra,493,5.9,183.9,2008,8236
Bega - Tathra,493,5.9,183.9,2009,8275
Bega - Tathra,493,5.9,183.9,2010,8349
Bega - Tathra,493,5.9,183.9,2011,8353
Bega - Tathra,493,5.9,183.9,2012,8395
Bega - Tathra,493,5.9,183.9,2013,8448
Bega - Tathra,493,5.9,183.9,2016,8593
Bega - Tathra,493,5.9,183.9,2017,8647
Bega - Tathra,493,5.9,183.9,2018,8684
Bega - Tathra,493,5.9,183.9,2019,8742
Bega - Tathra,493,5.9,183.9,2021,8846
Bega-Eden Hinterland,454,5,4709.8,2001,8429
Bega-Eden Hinterland,454,5,4709.8,2003,8549
Bega-Eden Hinterland,454,5,4709.8,2004,8658
