"","SA2_Code","SA2_Name","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Change_No.","Change_Percentage.","Area_Km2 ","Population_Density"
"9","101021007","Braidwood","2760","2811","2835","2844","2847","2965","3102","3181","3308","3429","3458","3590","3685","3762","3849","3950","4039","4140","4211","4273","4330","872","25.2","3418.4","1.3"
"10","101021008","Karabar","9129","9199","9263","9277","9209","9212","9033","8994","9030","9101","9092","9012","8848","8731","8603","8531","8526","8507","8488","8519","8546","-546","-6.0","7.0","1223.9"
"11","101021009","Queanbeyan","9717","9513","9522","9400","9595","9682","9793","10074","10288","10584","10715","10870","11050","11199","11213","11230","11355","11447","11450","11437","11370","655","6.1","4.8","2387.7"
"12","101021010","Queanbeyan - East","3925","4073","4219","4218","4187","4319","4459","4595","4712","4813","4951","4971","4983","4967","4961","4970","5013","5072","5117","5077","5093","142","2.9","13.0","391.7"
"13","101021012","Queanbeyan West - Jerrabomberra","9425","10257","11085","11549","12046","12358","12622","12798","12988","13146","13223","13204","13210","13193","13164","13150","13083","13008","12935","12796","12743","-480","-3.6","13.7","931.9"
"14","101021610","Googong","26","28","32","34","40","43","46","48","50","51","51","54","64","368","937","1613","2589","3453","4484","5448","6245","6194","12145.1","6.9","902.9"
"15","101021611","Queanbeyan Surrounds","10242","10733","11153","11498","11995","12539","13046","13583","13978","14286","14561","14937","15345","15592","15681","15678","15766","15919","16048","16267","16523","1962","13.5","3047.7","5.4"
"16","101031013","Bombala","2622","2617","2590","2576","2577","2589","2567","2534","2516","2503","2484","2462","2451","2437","2428","2420","2424","2431","2445","2454","2449","-35","-1.4","3990.1","0.6"
"17","101031014","Cooma","6915","6945","6981","7008","7013","7022","6964","6936","6932","6934","6935","6931","6924","6914","6887","6870","6866","6873","6865","6829","6760","-175","-2.5","103.6","65.2"
"18","101031015","Cooma Surrounds","2932","2946","2991","3023","3082","3141","3186","3196","3211","3244","3271","3282","3294","3305","3314","3327","3333","3349","3372","3415","3460","189","5.8","6251.0","0.6"
"19","101031016","Jindabyne - Berridale","6341","6497","6522","6521","6533","6585","6696","6774","6842","6896","6905","6932","6963","6987","7020","7071","7227","7389","7560","7769","8044","1139","16.5","3939.8","2.0"
"20","101041017","Batemans Bay","6537","6724","6993","7162","7293","7382","7501","7597","7644","7669","7772","7771","7776","7800","7829","7871","8000","8135","8276","8470","8587","815","10.5","63.7","134.8"
"21","101041018","Batemans Bay - South","7290","7412","7606","7746","7845","7892","8068","8200","8295","8460","8580","8559","8546","8532","8519","8510","8563","8611","8666","8757","8905","325","3.8","30.6","291.1"
"22","101041019","Bega - Tathra","7928","7971","8061","8151","8159","8178","8231","8236","8275","8349","8353","8395","8448","8500","8540","8593","8647","8684","8742","8805","8846","493","5.9","183.9","48.1"
"23","101041020","Bega-Eden Hinterland","8429","8504","8549","8658","8741","8798","8826","8883","8993","9090","9073","9039","9014","8996","8971","8952","9042","9141","9228","9360","9527","454","5.0","4709.8","2.0"
"24","101041021","Broulee - Tomakin","2637","2695","2706","2756","2788","2811","2796","2790","2827","2879","2900","2972","3067","3165","3275","3341","3409","3489","3580","3679","3771","871","30.0","24.2","155.6"
"25","101041022","Deua - Wadbilliga","38","38","37","37","35","34","40","45","51","56","61","55","46","40","32","25","28","31","35","38","41","-20","-32.8","2782.0","0.0"
"26","101041023","Eden","3365","3324","3283","3270","3275","3234","3255","3270","3280","3312","3321","3320","3316","3310","3303","3298","3306","3309","3328","3358","3409","88","2.6","94.8","36.0"
"27","101041024","Eurobodalla Hinterland","3059","3100","3159","3223","3276","3347","3361","3372","3366","3361","3328","3310","3318","3340","3356","3379","3378","3391","3400","3457","3522","194","5.8","1460.0","2.4"
"28","101041025","Merimbula - Tura Beach","8705","8937","9079","9221","9330","9490","9677","9798","9871","10048","10152","10317","10429","10532","10667","10846","10981","11140","11258","11358","11425","1273","12.5","97.3","117.4"
